pid,label,principal_link,additional_link,description,creators,contact_information,facebook,twitter,instagram,status,order,layout,collection,thumbnail,full
obj056,Hemeroteca Digital Nacional de Mexico,http://www.hndm.unam.mx/consulta/busqueda/buscarPorLetra?letra=A,,"La Hemeroteca Nacional Digital de Mexico (HNDM) is a virtual repository of periodical publications of a historical nature, which seeks to meet the same objectives that guide the National Newspaper Archive of Mexico (HNM): promote the preservation, conservation and dissemination of the Hemerographic heritage of the country. It is the largest virtual repository of images of newspapers and magazines printed in Mexico between 1722 and 2010, with about nine million digital pages, in which users can search by words and phrases within their textual contents.","Universidad Nacional Autonoma de Mexico, Biblioteca Nacional de Mexico, Guadalupe Curiel Defosse, Alvaro Matute Aguirre, Ricardo Jimenez Rivera, Lorena Gutierrez Schott, Jorge Arturo Ruedas Mendoza",,https://www.facebook.com/BiblioNacMex.HemeroNacMex.IIBUNAM,https://twitter.com/IIBUNAM,,active,055,united_item,united,img/derivatives/simple/obj056/thumbnail.jpg,img/derivatives/simple/obj056/full.jpg
obj081,Native Land,https://native-land.ca/,,"This map is in honor of all the Indigenous Nations [of colonial states]. It seeks to highlight that all land has a creation story and we must remember to support and stand by the original people of the lands we call home. The hope is that it instills pride in the descendants of these People, brings an awareness of Indigenous history, the long lasting effects of colonialism and uplifts the Nations that have never stopped fight to protect the Earth for us all",Victor G. Temprano,https://native-land.ca/contact/,https://www.facebook.com/nativelandnet/,https://twitter.com/nativelandnet,,active,080,united_item,united,img/derivatives/simple/obj081/thumbnail.jpg,img/derivatives/simple/obj081/full.jpg
obj095,"Redes, migrantes sin fronteras",http://redes.dh.tamu.edu/,,"REDES aims to be the meeting point between initiatives, the migrant population and civil society. REDES, is also an inclusive and dynamic website whose goal is to be the starting point in the search for help by migrants who are in transit through Mexico or Mexicans who are back. The project provides its users with: digital maps for searching, information on civil initiatives and the services they offer, information on shelters, care centers and programs for those who have been deported and forums for artistic and narrative expression.","Rubria Rocha de Luna, Alicia Zavala Garcia, Alex Garza, Denise Meda Calderon, Jason Campos, Texas A & M University",redes.migrantes@gmail.com,https://www.facebook.com/redesmigrantessinfronteras/,https://twitter.com/RedesMigrantes,,active,094,united_item,united,img/derivatives/simple/obj095/thumbnail.jpg,img/derivatives/simple/obj095/full.jpg
obj083,Neta Rio Grande Valley,https://netargv.com/,,Neta is a bilingual multimedia platform based in the Rio Grande Valley along the Texas-Mexico border. The project create engaging and culturally relevant content that amplifies the voices of border residents aimed to challenge mainstream narratives about this region. They want to inspire young people to act on urgent social and cultural issues.,"Dani Marreo Hi, Lissette Castillo, Eduardo Martinez, Christopher Kurt Martinez, Nanci Guevara, Samantha Herrera, Jackie Cortez, Adrian Castellanos, Josue Ramirez, Juan Villela, Veronica G. Cardenas, Joe Uvalles, Beatrix Lestrange, Alexandra Nicole Salazar Vasquez, Omar Casas, Misael Ramirez, Nicole Saenz, Ruben Garza, Andy Gutierrez, Robert Lopez",la@netargv.com,https://www.facebook.com/netargv/,https://twitter.com/netargv,,active,082,united_item,united,img/derivatives/simple/obj083/thumbnail.jpg,img/derivatives/simple/obj083/full.jpg
obj097,Remezcla,https://remezcla.com/,https://instragram.com/remezcla,"Remezcla is an innovative online local guide to Latino culture with editions in 5 cities: Chicago, Los Angeles, Miami, New York, San Francisco and Phoenix. Remezcla covers a wide range of Latino events and trends including concerts, art exhibits, films and restaurants from a hip, entertaining and smart point of view.",,,htttps://facebook.com/remezcla,https://twitter.com/REMEZCLA,,active,096,united_item,united,img/derivatives/simple/obj097/thumbnail.jpg,img/derivatives/simple/obj097/full.jpg
obj068,Mapa de #UnVioladorentuCamino,https://umap.openstreetmap.fr/es/map/un-violador-en-tu-camino-2019_394247#4/34.41/-91.58,,"Mapping of performance ""Un violador en tu camino"" created by the feminist collective La Tesis. Some main intervention can be seen at the border region. ","Geochicas, LaInternacionalFeminista, Isaura Fabra y Celine Jacquin",,,https://twitter.com/GeochicasOSM,,active,067,united_item,united,img/derivatives/simple/obj068/thumbnail.jpg,img/derivatives/simple/obj068/full.jpg
obj040,Editorial Ojo de Pez,https://issuu.com/editorialojodepez,,Tijuana artisan publishing house specialized in experimental poetry and novels.,"Patricia Binme, Lili Amore",kodamacartonera@gmail.com,https://www.facebook.com/editorialojodepez,https://twitter.com/EditorialOjo,,active,039,united_item,united,img/derivatives/simple/obj040/thumbnail.jpg,img/derivatives/simple/obj040/full.jpg
obj054,Frontera Digital,https://roxanarodriguezortiz.com/frontera/historiografia-de-la-frontera/ ,https://estudiosfronterizos.org/,This project looks to research and develop geospacial technologies with the intent to promote a more democratic and respectful culture in regards to the migrant communities and the diferent comunitites that recieve them within the country.,Roxana Rodriguez,roxrodri@gmail.com,,,,active,053,united_item,united,img/derivatives/simple/obj054/thumbnail.jpg,img/derivatives/simple/obj054/full.jpg
obj108,The Strachwitz Frontera Collection of Mexican and Mexican American Recordings,http://frontera.library.ucla.edu/,,"The Arhoolie Foundation's Strachwitz Frontera Collection of Mexican and Mexican American Recordings is the largest repository of these commercially produced vernacular recordings in existence. The nearly 160,000 recordings in the collection were made primarily in the United States and Mexico and were issued on 78 rpm, 45 rpm, and 33rpm (long-playing, or LP) phonograph records and cassette and reel-to-reel tapes. The earliest recording was made in 1908, and the latest recordings were released in the 1990s. These performances are divided into three sections, roughly by era. Because of the depth and breadth of each section, and because many of the recordings are irreplaceable, the Strachwitz Frontera Collection is unique.","UCLA Chicano Studies Research Center, Arhoolie Foundation, UCLA Digital Library, Chon A. Noriega, Chris Strachwitz, Stephen Davison",info@arhoolie.org,https://www.facebook.com/ArhoolieFoundationFronteraCollection,,,active,107,united_item,united,img/derivatives/simple/obj108/thumbnail.jpg,img/derivatives/simple/obj108/full.jpg
obj109,Tierras fronterizas en la mira,http://storymaps.esri.com/stories/2017/embattled-borderlands/index.html?language=spanish,,"Under The Borderlands Project, Schlyer has focused a decade of work on documenting the US-Mexico borderlands and the impact U.S. border and immigration policy are having on the wildlife, people and ecosystems of the region. This endeavor has included collaborative projects with the Sierra Club, Defenders of Wildlife, the National University of Mexico City, the International League of Conservation Photographers, and many other organizations and individuals. Photography and video in Embattled Borderlands was donated by many talented individuals, including the team of photographers that participated in the iLCP Borderlands Expedition in 2009.",Krysta Schlyer,kris_schly@yahoo.com,https://www.facebook.com/krista.schlyer,https://twitter.com/kristaschlyer,,active,108,united_item,united,img/derivatives/simple/obj109/thumbnail.jpg,img/derivatives/simple/obj109/full.jpg
obj055,Google Newspapers,https://news.google.com/newspapers?hl=en#E,,"Digital newspapers from the United States. Link newspaper or free/paid archive that holds newspaper. Home page unavailable and service merged with Google News, but newspapers are still searchable.","Originally PaperofRecord.com created by Robert J. Huggins; aquired by google June 6, 2006",,,,,active,054,united_item,united,img/derivatives/simple/obj055/thumbnail.jpg,img/derivatives/simple/obj055/full.jpg
obj041,El Juarez de ayer,https://eljuarezdeayer.wixsite.com/el-juarez-de-ayer,,"This project is intended to show and document the moments of Mexican history that are dedicated to Ciudad Juarez...of those who have lived in this border city, who from anywhere in Mexico camo to this site receiving the welcome, waiting for the opportunity to show the different events that occurred in each span of its extension that are still unknown. The project creates a photographic community archive to show the world how valuable Ciudad Juarez is. The site mentiones that as ""Natives or not, we have a duty to make known the value of this land that daily stives to show its Heroism that gives it the strength of being the Refuge of Freedom, Custody of the Republic...""","Jose Luis Hernandez Caudillo, Joel Casas y Adrian Garcia Castro",https://eljuarezdeayer.wixsite.com/el-juarez-de-ayer/contacto,https://www.facebook.com/ElJRZdeAyer/,,,active,040,united_item,united,img/derivatives/simple/obj041/thumbnail.jpg,img/derivatives/simple/obj041/full.jpg
obj069,Mapa Sonoro de Mexico,https://mapasonoro.cultura.gob.mx/,,"The Ministry of Culture in Mexico, through the National Library of Mexico, presents the Sound Map of Mexico that serves as a collection of the different Mexican sounds through time and space. The project seeks to portray Mexican society and letting us know how we were, are and will be.",Gobierno de Mexico,,,,,active,068,united_item,united,img/derivatives/simple/obj069/thumbnail.jpg,img/derivatives/simple/obj069/full.jpg
obj096,Refusing to Forget,https://refusingtoforget.org/,,"Between 1910 and 1920 ethnic Mexicans living on the Texas-Mexico border were targets of state-sanctioned violence. Although historians estimate that several thousand Mexican nationals and American citizens were killed, this period of violence has received little public attention. Refusing to Forget, an educational non-profit, hopes that in bringing public awareness to this often forgotten period, we can also raise the profile of a struggle for justice and civil rights that continues to influence social relationships today.","Trinidad Gonzales, Sonia Hernandez, Monica Munoz Martinez, Benjamin Johnson, John Moran Gonzalez",refusingtoforget@gmail.com,https://www.facebook.com/refusingtoforget/,https://twitter.com/Refusing2Forget,,active,095,united_item,united,img/derivatives/simple/obj096/thumbnail.jpg,img/derivatives/simple/obj096/full.jpg
obj082,Native Texans: The Coahuiltecan Speakers of the San Antonio Mission,https://nativetexans.omeka.net/,,,Paloma Vargas,palomavargas@tec.mx,,,,in progress,081,united_item,united,img/derivatives/simple/obj082/thumbnail.jpg,img/derivatives/simple/obj082/full.jpg
obj064,LA FRONTERA: Artists along the U.S.-Mexico Border,https://borderartists.com/,https://twitter.com/borderartists,"Over the last ten years I have traveled to most major and some smaller cities on both sides of the 2000 miles long U.S.-Mexico border and photographed about 200 painters, photographers, musicians, writers, dancers, architects and art promoters in order to shine a spotlight on the vibrant cultural activities and cross-border opportunities that exist despite the tremendous challenges in this bi-national region.",Stefan Falke,stefanfalke@mac.com,https://www.facebook.com/LaFronteraArtistsAlongTheUsMexicanBorder,,https://www.instagram.com/borderartists/,active,063,united_item,united,img/derivatives/simple/obj064/thumbnail.jpg,img/derivatives/simple/obj064/full.jpg
obj070,Mapped the Fluid Border Between El Paso and Ciudad Juarez,https://nicoleantebi.com/,,"The animation shows the historical movements of the Rio Grande / Rio Bravo from 1827 to 1960. The image is based on an 1896 topographic map that proposed an international dam where New Mexico, Mexico and Texas are located. Animation is a record not only of historical changes, but also an image of the river's real life. It is the history of the agency of the river and the changing place of the world. Like the motionless lines of a traditional map, the border prints an idea of how the river should move towards the landscape.",Nicole Antebi,nicole.antebi@gmail.com,,https://twitter.com/nananaKneeeees,,active,069,united_item,united,img/derivatives/simple/obj070/thumbnail.jpg,img/derivatives/simple/obj070/full.jpg
obj058,Historic Mexican and Mexican American Press,http://www.library.arizona.edu/contentdm/mmap/?_ga=1.54565291.1433533697.1461018791,,"The Historic Mexican and Mexican American Press collection documents and showcases historic Mexican and Mexican American publications published in Tucson, El Paso, Los Angeles, San Francisco, and Sonora, Mexico from the mid-1800s to the 1970s. The digital collection at the University of Arizona Libraries makes accessible more than 150 years of news coverage documenting the voice of the Mexican and Mexican American community. The publications capture the historical record of the Mexican and Mexican American community during significant times including the Gadsden Purchase, the Mexican Revolution, the Great Depression and Mexican repatriation, World War II, the Bracero program and the Chicano Civil Rights Movement.","University of Arizona, University Libraries",azmemory@azlibrary.gov,,https://twitter.com/uazlibraries,,active,057,united_item,united,img/derivatives/simple/obj058/thumbnail.jpg,img/derivatives/simple/obj058/full.jpg
obj110,Tijuana Calling,https://www.marktribe.net/tijuana-calling/,,"Tijuana Calling is an online curatorial project featuring five commissioned online art projects that address issues specific to the borderlands of Tijuana/San Diego, including migration and exchange, flows of capital and labor, surveillance and privacy, translation and cultural hybridity. These art projects will take the form of actions, events, performances and tactical interventions in public online spaces. As an extension of the inSite_05 web site, Tijuana Calling will document and link to these projects, but the projects themselves will happen elsewhere: in multiplayer online games, commerce sites, social network sites, wireless networks, and other online locations that form the virtual public domain of Tijuana/San Diego.","Curator: Mark Tribe; Contributors: Anne-Marie Schleiner, Luis Hernandez, Ricardo Miranda Zuniga, Kurt Olmstead, Brooke Singer, Angel Nevarez, Alex Rivera, Fran Ilich, Coco Fusco, Ricardo Dominguez",marktribestudio@gmail.com,https://www.facebook.com/marktribe,https://twitter.com/marktribe,,active,109,united_item,united,img/derivatives/simple/obj110/thumbnail.jpg,img/derivatives/simple/obj110/full.jpg
obj104,The Immigration Project,,,Oral histories of immigration reposited in a digital platform.,,,,,,inactive,103,united_item,united,img/derivatives/simple/obj104/thumbnail.jpg,img/derivatives/simple/obj104/full.jpg
obj105,The Latina History Project,http://latinahistoryproject.omeka.net/,,"The LHP is a faculty-student research project that aims to enhance undergraduate education and provide resources on Latina/o and Chicana/o history in the Central Texas region. While the project began with the goal of digitizing the Rostros y Almas/Faces and Souls exhibit on local Tejanas, it has grown to encompass the broader mission of enhancing understandings of Latina/o and Chicana/o history. The LHP does so through the collection of oral histories from past and present members of Southwestern community as well as several activists, including key figures in the Chicana/o Movement in Texas.","Southwestern University, Dr. Brenda Sendejo, Dr. Alison Kafer",https://latinahistoryproject.omeka.net/contact,,https://twitter.com/SouthwesternU,,active,104,united_item,united,img/derivatives/simple/obj105/thumbnail.jpg,img/derivatives/simple/obj105/full.jpg
obj111,Torn Apart / Separados,http://xpmethod.plaintext.in/torn-apart/volume/2/index,,"A mobilized humanities project that emerges from the immigration crisis that started at the United States-Mexico border. Creating visualizations, Volume 1 aggregates and cross-references publicly available data to visualize the geography of zero tolerance immigration policy in 2018 and immigration incarceration in the USA in general. This initial volume highlights the landscapes, families, and communities affected by the massive web of immigrant detention in the United States. Volume 2 explores the financial landscape of US Immigration and Customs Enforcement (ICE) and the impact of its increased investment in detention, enforcement, and deportation of immigrant families.","Alex Gil, Roopika Risam, Manan Ahmed, Moacir P. de Sa Pereira, Maira alvarez, Sylvia Fernandez, Linda Rodriguez, Merisa Martinez",tornapartseparados@gmail.com,,#TornApart #Separados,,active,110,united_item,united,img/derivatives/simple/obj111/thumbnail.jpg,img/derivatives/simple/obj111/full.jpg
obj059,Humanizando la Deportacion,http://humanizandoladeportacion.ucdavis.edu/es/,,"This project visibilizes a range of humanitarian problems that have been generated by the massive displacement of humans as a consequence of mismanagment on both sides of the US-Mexico border. It employs digital narrative, digital genre that puts the content and production control in the hands of community narrators (deported and others affected by deportation and deportability),  to produce a public archive that gives the deportation crisis a human face.","University of California Davis, Colegio de la Frontera Norte (Tijuana), Universidad de Guadalajara, Tecnologico de Monterrey, Universidad Autonoma de Chihuahua",rmirwin@ucdavis.edu,https://www.facebook.com/Humanizando-la-Deportaci%C3%B3n-179628745925853/,,,active,058,united_item,united,img/derivatives/simple/obj059/thumbnail.jpg,img/derivatives/simple/obj059/full.jpg
obj071,Mapping History Project: Stories of the Southwest,http://michaelsimeone.org/omeka/,,"A goal of the Mapping History Project is to activate history through dynamic and viable interactive demonstrations of unknown stories. Another objective is to promote tolerance through understanding of diversity, which can be historically traced in an expanded history that reflects all communities that make up a place. Narratives interwoven upon historic maps from the Simon Burrow Map Collection at the School of Transborder Studies at ASU visualize histories and lived experiences of transborder populations along the United States and Mexico borderlands. Here stories of ancient peoples who have populated the regions since before Europeans discovered the Americas is paralleled with contemporary mainstream history of the Southwest.","Arizona State University, Institute for Humanities Research, The Arizona Center for Medieval and Renaissance Studies, Theresa Avila, Sharonah Fredrick, Robert Bjork, Carlos Velez-Ibanez, Micheal Simeone, Nilam Bari, Arpit Mathur",,,,,active,070,united_item,united,img/derivatives/simple/obj071/thumbnail.jpg,img/derivatives/simple/obj071/full.jpg
obj065,Linealist,https://linealist.wordpress.com/,https://vimeo.com/user19573169,"The Linealist explores the history of New Mexican families, culture and ancestry. The project curates archival documents in the Digitized Records page, and offers research links in the Archive Portal. To illustrate the connections between and amongst New Mexican and Nueva Viscayan families, the Matrilineal and Patrilineal pages address the ancestral lines of the children of Elijio Chavez and Carmen Fierro.",,linealist@gmail.com,https://www.facebook.com/Linealist/,,,active,064,united_item,united,img/derivatives/simple/obj065/thumbnail.jpg,img/derivatives/simple/obj065/full.jpg
obj098,Rural Immigration Network / Red Rural de Inmigracion,https://ruralimmigration.net/,,"RIN allows community builders to learn from others like themselves, creating an online network that stretches across geographic distances and highlights efforts to empower and support immigrant newcomers in rural areas.",Katherine Tegtmeyer Pak,ktp@stolaf.edu,,https://twitter.com/KSTPak,,active,097,united_item,united,img/derivatives/simple/obj098/thumbnail.jpg,img/derivatives/simple/obj098/full.jpg
obj073,Mapping Texts,http://mappingtexts.org/index.html,,Mapping Texts is a collaboration between the University of North Texas and Stanford University with a pretty simple mission: experiment with new methods for finding and analyzing meaningful patterns embedded within massive collections of historical newspapers.,"Stanford University, University of North Texas, Andrew J. Torget, Jon Christensen, Cameron Blevins",andrewtorget@gmail.com,,https://twitter.com/andrewtorget,,active,072,united_item,united,img/derivatives/simple/obj073/thumbnail.jpg,img/derivatives/simple/obj073/full.jpg
obj067,Low Drone,http://www.lowdrone.com/,,LowDrone uses a lowrider drone as performance art activism to fly it over the California US/Mexico Border to critique the surveillance and control of the border airspace by the military and industrial complex.,,hopper@lowdrone.com,,,,active,066,united_item,united,img/derivatives/simple/obj067/thumbnail.jpg,img/derivatives/simple/obj067/full.jpg
obj107,The South Texas Border 1900-1920,http://runyon.lib.utexas.edu/,,"The Robert Runyon Photograph Collection of the South Texas Border Area, a collection of 8,241 items, is a unique visual resource documenting the Lower Rio Grande Valley during the early 1900s. Donated by the Runyon family to the Briscoe Center for American History in 1986, it includes glass negatives, lantern slides, nitrate negatives, prints, and postcards, representing the life's work of commercial photographer Robert Runyon (1881-1968), a longtime resident of South Texas. His photographs document the history and development of South Texas and the border, including the Mexican Revolution, the U.S. military presence at Ft. Brown and along the border prior to and during World War I, and the growth and development of the Rio Grande Valley.",University of Texas Library at University of Texas at Austin,,,,,active,106,united_item,united,img/derivatives/simple/obj107/thumbnail.jpg,img/derivatives/simple/obj107/full.jpg
obj113,Turista Fronterizo,http://www.turistafronterizo.net/,,"The project designed and produced a bilingual virtual board game about daily life bicultural negotiation in San Diego/Tijuana for InSite 05. This game was designed using basic HTML, and thus is simple to use, so that populations unaccustomed to gaming will not be deterred by lengthy instructions or complicated maneuvers. The game looks like a board game, such as Monopoly or the Mexican version Turismo, and the movements around the board are simulated through ""point and click"" interaction with the screen. It ia a game to be played individually, like solitaire, in order to allow people who are not gaming devotees to partake of the game with ease. Players have the option to enter the game in English or Spanish and choose from among four player personae. The language and personae chosen determine the particular perspective on life experiences in the border region that each player have so that the more conversant one is in various idioms of the border, the more one can know about all the angles of the game and the more one has access to ""insider"" information on both sides of the border. The paths of each player allude to actual experiences that are typical of real life regular border crossers, from elderly Americans who go to Tijuana to buy cheaper prescription drugs medicine, to Mexican day laborers who make their way on foot along Route 5 each day and peddle their skills and trades in San Diego's suburbs. The game represents the US-Mexico border as material locality, and as representative of particular (corporate) practices. It focuses on the maquiladora or assembly plant, arguing that it is central to the work, and stands for post-Fordist late capitalism. Similar, it shows at how socio-economic inequalities of the border are encoded, and critiques the structural inequities of the border economy. In creating a virtual board game that acts as a refracted mirror of the sociocultural space of the US-Mexico border, we retrace the steps of the Surrealists and the Situationists .","Coco Fusco, Ricardo Dominguez",,,,,inactive,112,united_item,united,img/derivatives/simple/obj113/thumbnail.jpg,img/derivatives/simple/obj113/full.jpg
obj112,Transborder Immigrant Tool (Arte util),http://www.arte-util.org/projects/transborder-immigrant-tool/,,"Researchers, new media artists, and co-founders of the Electronic Disturbance Theater/b.a.n.g. lab, Ricardo Dominguez and Brett Stalbaum, together with a wider team of poets and professors, devised the Transborder Immigrant Tool (TBT) to improve the odds of a safe crossing of the Mexico U.S. border. Thousands of people have died in their journey, mostly due to its vertiginous and deserted geography. The TBT consists of a GPS system (in this case, standing for Geo Poetic System) with 24 hours of experimental poetry aimed at providing not only inspiration for survival, but also information on food/water caches, security activities, and directions to potentially safer routes. Its simple, user-friendly interface is designed as an easy hack to low-cost cell phones.","Electronic Disturbance Theater (EDT) 2.0/B.A.N.G. Lab, University of California, San Diego (UCSD), Ricardo Dominguez, Brett Stalbaum, Micha Cardenas, Amy Sara Carroll, and Elle Mehrmand (the artists)",rrdominguez@ucsd.edu,https://www.facebook.com/Transborder-Immigrant-Tool-152839651393417/,,,inactive,111,united_item,united,img/derivatives/simple/obj112/thumbnail.jpg,img/derivatives/simple/obj112/full.jpg
obj106,The Portal to Texas History,https://texashistory.unt.edu/,,"The Portal to Texas History is a gateway to rare, historical, and primary source materials from or about Texas. Created and maintained by the University of North Texas Libraries, the Portal leverages the power of hundreds of content partnersacross the state to provide a vibrant, growing collection of resources.","University of North Texas Libraries, Ana Krahmer, Cathy Nelson Hartman
Mark Phillips, Dreanna Belden",ana.krahmer@unt.edu,https://www.facebook.com/ThePortalToTexasHistory/,,,active,105,united_item,united,img/derivatives/simple/obj106/thumbnail.jpg,img/derivatives/simple/obj106/full.jpg
obj066,Los Tejanos,http://www.los-tejanos.com/index.html,,"A repository for bits and pieces of Texas culture. Collection with items Hernan Contreras'  family. The initial material is from south Texas, of particular interest are letters, photos, court documents, journals, certificates, wills, the stuff of ordinary people going about the business of wresting a living in the frontier. No myths; no legends just ordinary folks, for in the final analysis, it is the ordinary settler doing ordinary things under extraordinary circumstances that permanently forged the frontier. The ultimate goal of this project is to create a window through which we can see what it was like to be a Texan in the different eras. ",Hernan A. Contreras,hac@los-tejanos.com ,,,,active,065,united_item,united,img/derivatives/simple/obj066/thumbnail.jpg,img/derivatives/simple/obj066/full.jpg
obj072,"Mapping Mexican History: Territories in Dispute, Identities, in Question",https://utlibrariesbenson.omeka.net/exhibits/show/mapping-mexican-history,,"The exhibit focuses on three distinct moments when maps played an integral role in the transformation of Mexico and its political geography. In the sixteenth century, early colonial pictographic maps drawn by indigenous artists reflect the growth of Spanish colonial administration. These maps show how indigenous elites adapted pre-Hispanic visual traditions to Europeanized forms of documentation to record their histories and defend claims to land and power. In the eighteenth century, new maps of Mexicos principal cities serve as both representations and instruments of the viceregal governments efforts to re-order and regulate Mexican social life and public spaces. In the nineteenth century, maps are central to the military struggle for independence and the defense of contested national borders.","The University of Texas at Austin, LLILAS/Benson Latin American Collections, Jullianne Gilland",,,,,active,071,united_item,united,img/derivatives/simple/obj072/thumbnail.jpg,img/derivatives/simple/obj072/full.jpg
obj099,Southern Colorado Borderlands,https://www.historycolorado.org/exhibit/borderlands,,"History Colorado shares the stories of Colorado's past. The exhibition ""The borderlands of southern Colorado"" marks the site of the original El Pueblo, which was established in 1842 along the border and is well placed to tell the various stories. The river and the landscape of this place cover important history: from a meeting point between indigenous tribes to a physical border between nations, from a border between mountains and plains to a place of daily convergence between cultural and ethnic borders. This exhibition illuminates the geopolitical border history specific to this place, as well as the continuous regional borders of cultures, ethnic groups, landscapes, industries, religions and identities. Through an interactive map it shows the changing control zones over time to other videos, artifacts, and exhibits.",History Colorado Museum,,,,,active,098,united_item,united,img/derivatives/simple/obj099/thumbnail.jpg,img/derivatives/simple/obj099/full.jpg
obj089,Playas de Tijuana Mural Project: Public Engaged Digital Humanities and Scholarship,https://lizbethdelacruzsantana.com/about,,"The main goal of the project is to bring new public art of high artistic quality and enduring value to the world's largest land border entry and one of the busiest land border crossings in the world. At the same time, it intends to transform the public perception of deportability through institutional and societal engagement with the seven portraits and the 96 Quick Response (QR) codes plastered on the fence. The project incorporated Quick Response (QR) codes into a border wall to also provide the opportunity for people who cant go to Tijuana themselves to interact with the mural. As an additional resource to make the mural accessible to the public and educators, it has created a digital mural free to use and download.  The inclusion of QR codes has allowed audiences the opportunity to not only listen and watch the narratives but to also take agency in sharing the stories, facilitating their participation in creating consciousness of immigrant life in the U.S. and life after deportation. The project's approach to incorporate technology as a vehicle to connect the public to the art piece and the stories have been fruitful.","Lizbeth de la Cruz Santana, Mauro Carrera, Enrique Chiu, Maceo Montoya",lizbethdelacruzs@gmail.com,,https://twitter.com/lizbethdsantana,,active,088,united_item,united,img/derivatives/simple/obj089/thumbnail.jpg,img/derivatives/simple/obj089/full.jpg
obj076,Mexican Revolution and the United States,https://www.loc.gov/exhibits/mexican-revolution-and-the-united-states/,,"The Mexican Revolution and the United States in the Collections of the Library of Congress tells the dynamic story of the complex and turbulent relationship between Mexico and the United States during the Mexican Revolution, approximately 1910-1920. The site features extraordinary items from many parts of the Library including letters from U.S. President William Howard Taft (1909-1913), photographs, books, manuscripts, and maps. Other materials covering the U.S. invasion of Veracruz in 1914 and the 1916 U.S. incursion in search of Pancho Villa led by General John J. Pershing, original film footage taken during the fighting, and sheet music and recordings of songs sung at the time in the U.S. and, thanks to Arhoolie Records, the marching songs of both Pancho Villa (Adelita) and Venustiano Carranza (Valentin). This online exhibition closes with items depicting the impact of the Mexican Revolution on the United States and the consequences of the Revolution on the future of Mexican politics.","Library of Congress, James H. Billington, former Librarian of Congress; completed under David Mao, Acting Librarian of Congress",,,https://twitter.com/librarycongress,,active,075,united_item,united,img/derivatives/simple/obj076/thumbnail.jpg,img/derivatives/simple/obj076/full.jpg
obj062,Justice in Mexico Project,https://justiceinmexico.org/,,"Justice in Mexico works to improve citizen security, strengthen the rule of law, and protect human rights in Mexico. They generate cutting edge research, promote informed dialogue, and work to find solutions to address these enormously complex issues. As a U.S.-based initiative, their program partners with key stakeholders, experts, and decision makers, lending international support to help analyze the challenges at hand, build consensus about how to resolve them, and foster policies and programs that can bring about change.",David Shirk ,davidashirk@gmail.com,https://www.facebook.com/JusticeinMexico/,https://twitter.com/JusticeinMexico,,active,061,united_item,united,img/derivatives/simple/obj062/thumbnail.jpg,img/derivatives/simple/obj062/full.jpg
obj102,Texas Slavery Project,http://www.texasslaveryproject.org/,,"The Texas Slavery Project examines the spread of American slavery into the borderlands between the United States and Mexico in the decades between 1820 and 1850. American slaveholders began migrating to the Mexican province of Texas in the 1820s, where they established a society like those developing at the same time in Mississippi and Alabama. Tensions quickly rose between these Anglo settlers and the government of Mexico, which repeatedly attempted to outlaw slavery in Texas. Settlers in the region eventually rebelled from Mexico in 1836 and established the Republic of Texas. From 1836 to 1845, slaveholders from the American South poured into this new nation between the borders of the United States and Mexico. Centered on a database of slave and slaveholder populations in Texas during the Republic era (1837-45), the Texas Slavery Project offers a window into the role slavery played in the development of Texas in the years before the region became part of the United States. Dynamic interactive maps show the changing flows of enslaved and slaveholder populations in Texas over time. The population database search engine allows users to discover the growth of slave and slaveholder populations in the region. Digitized original documents from the era provide an opportunity to hear the voices of those who lived with slavery in early Texas","University of Virginia, The Summerlee Foundation of Dallas, and The Virginia Center for Digital History, Andrew J. Torget , Dave Zimring, Bill Ferster, Bill Covert, Bill Hunt ",andrewtorget@gmail.com,,https://twitter.com/ElPuebloMuseum,,active,101,united_item,united,img/derivatives/simple/obj102/thumbnail.jpg,img/derivatives/simple/obj102/full.jpg
obj103,The Everett D. Graff Collection of Western Americana,http://publications.newberry.org/graff/#/,,"This site contains more than 130,000 digitized images from the Newberrys renowned Graff collection, documenting Americas westward expansion. Topics covered include narratives from explorers, pioneers, hunters, traders, and prospectors; accounts of the Mormon treks of 1846 and 1849, the California gold rush, and overland travel during the 19th century; the development of transcontinental railroads; the growth of Western city and town life; and the history and culture of Native Americans.",Newsberry Library Digital Collections,,,https://twitter.com/NewberryLibrary,,active,102,united_item,united,img/derivatives/simple/obj103/thumbnail.jpg,img/derivatives/simple/obj103/full.jpg
obj063,Kodama Cartonera,http://issuu.com/kodamacartonera,,Kodama Cartonera is the first cardboard publishing house on the United States-Mexico border. It is dedicated to creating books with cardboard covers and publishing a digital version of them.,"Mavi Robles-Castillo, Jhonnatan Curiel, Aurelio Meza",kodamacartonera@gmail.com,https://www.facebook.com/Kodama-Cartonera-175081929209722/,https://twitter.com/KodamaCartonera,,active,062,united_item,united,img/derivatives/simple/obj063/thumbnail.jpg,img/derivatives/simple/obj063/full.jpg
